latitude,longitude
38.5076709,-121.5412748
38.65966202,-121.4535351
38.61499077,-121.4534714
38.65699142,-121.5038615
38.63500106,-121.4213652
38.49601155,-121.4592772
38.54182394,-121.4709505
38.63963285,-121.4130509
38.63351404,-121.5282646
38.61199425,-121.4244182
38.57546355,-121.4761823
38.50771305,-121.5534498
38.51617367,-121.5286379
38.60088271,-121.4352821
38.63244741,-121.4903723
38.62275946,-121.513946
38.51110856,-121.5343434
38.61286644,-121.4444547
38.61301252,-121.4993798
38.60758365,-121.5411045
38.65509277,-121.4477394
38.5206653,-121.515833
38.62749128,-121.528707
38.55456463,-121.4106138
38.66227019,-121.5291389
38.5695415,-121.409084
38.65731154,-121.5119979
38.54072015,-121.4620361
38.53437911,-121.5068742
38.62194039,-121.431713
38.46337225,-121.4161718
38.54929974,-121.3882189
38.46449565,-121.456788
38.58259727,-121.500996
38.54100057,-121.4458147
38.53725889,-121.4477561
38.52545723,-121.5139339
38.61361383,-121.454378
38.58062786,-121.5014996
38.48682651,-121.5001978
38.58137649,-121.4974538
38.48023792,-121.4360926
38.58472227,-121.4858505
38.60666541,-121.422421
38.63862878,-121.3815598
38.48420982,-121.448306
38.56047289,-121.3902704
38.65394829,-121.462463
38.62221222,-121.4447319
38.62524321,-121.4304825
38.46027205,-121.4304773
38.61199425,-121.4244182
38.60154457,-121.42747
38.61317258,-121.4424469
38.52199137,-121.4990149
38.63070055,-121.440864
38.6374478,-121.3846125
38.56839814,-121.4313525
38.48020103,-121.5015786
38.63910642,-121.528
38.57543889,-121.5029735
38.49203951,-121.4613302
38.6776884,-121.5345401
38.54199544,-121.4712254
38.5127908,-121.5313723
38.56796664,-121.4852542
38.50488174,-121.4804148
38.52199137,-121.4990149
38.64823548,-121.4261249
38.63589608,-121.5055312
38.63869884,-121.4424398
38.66157492,-121.4969793
38.47415723,-121.4296995
38.54818818,-121.3940644
38.5530906,-121.3751255
38.64770425,-121.4242104
38.56737967,-121.4786515
38.60972461,-121.4953467
38.45718227,-121.4133413
38.5777553,-121.4838823
38.45964489,-121.4291448
38.50926564,-121.4129728
38.63535055,-121.4281542
38.62642643,-121.487454
38.58432423,-121.4902264
38.57001564,-121.4872296
38.52496323,-121.4438874
38.52517945,-121.4443121
38.62009985,-121.4590851
38.6176064,-121.4204494
38.54069286,-121.4728119
38.56108765,-121.4913716
38.62764502,-121.4258496
38.52517945,-121.4443121
38.65543537,-121.5223763
38.49250972,-121.4579445
38.60057486,-121.4940223
38.61712192,-121.4587997
38.61712192,-121.4587997
38.44227407,-121.4127165
38.63425266,-121.4177759
38.55701398,-121.4762723
38.58376222,-121.4848464
38.54242302,-121.4674602
38.59572389,-121.5050785
38.609884,-121.46479
38.62798992,-121.5092581
38.60240036,-121.4295032
38.57117547,-121.4924504
38.50482198,-121.4112131
38.61328867,-121.494681
38.61112465,-121.4593596
38.62581805,-121.4971301
38.61102318,-121.5119472
38.62266231,-121.4260893
38.56788759,-121.4792459
38.63659439,-121.4763493
38.52654807,-121.4434066
38.49601155,-121.4592772
38.60311006,-121.4269745
38.61589867,-121.4924786
38.60880668,-121.4528434
38.53137433,-121.4506403
38.5313798,-121.4523742
38.56165546,-121.3880115
38.64316291,-121.4745819
38.52225475,-121.4114993
38.64390931,-121.4507882
38.51585237,-121.3675001
38.54020494,-121.4505653
38.47226256,-121.4336162
38.66757714,-121.4538176
38.5842425,-121.5036468
38.57562427,-121.4758978
38.67667622,-121.5088422
38.60667473,-121.4226379
38.57016732,-121.5069731
38.61472939,-121.4300065
38.61935446,-121.4755343
